city,country,date,lat,lng,temp,humd,wind,cloud
Port Elizabeth,ZA,1613200572,-33.918,25.5701,78.8,83,10.36,40
Kiryat Gat,IL,1613200573,31.61,34.7642,60.01,100,4.0,0
Narsaq,GL,1613200575,60.9167,-46.05,42.8,31,34.52,75
Cayenne,GF,1613200576,4.9333,-52.3333,77.0,100,4.61,75
Terrace Bay,CA,1613200577,48.7834,-87.1,-5.8,71,8.05,100
Sungai Penuh,ID,1613200578,-2.0833,101.3833,78.22,70,2.95,96
Prattville,US,1613200580,32.464,-86.4597,46.4,100,4.61,90
Edd,ER,1613200570,13.9297,41.6925,86.02,32,13.76,0
Caravelas,BR,1613200432,-17.7125,-39.2481,73.45,89,3.56,39
Stornoway,GB,1613200585,58.2093,-6.3865,35.6,51,14.97,0
Port Hedland,AU,1613200586,-20.3167,118.5667,89.6,55,16.11,7
Itarema,BR,1613200588,-2.9248,-39.9167,77.32,90,9.46,19
Dashitou,CN,1613200589,43.3067,128.5114,38.41,82,5.88,100
Kjøllefjord,NO,1613200590,70.9457,27.3465,24.28,96,2.39,100
Tuatapere,NZ,1613200591,-46.1333,167.6833,66.0,69,0.92,100
Whyalla,AU,1613200592,-33.0333,137.5833,73.4,53,18.41,0
Dali,CN,1613200593,25.7,100.1833,63.21,30,9.6,0
Seymchan,RU,1613200594,62.8833,152.4333,-20.79,86,2.15,20
Geraldton,AU,1613200596,-28.7667,114.6,89.6,43,19.57,40
Pitimbu,BR,1613200597,-7.4706,-34.8086,77.0,100,4.61,90
Pechora,RU,1613200598,65.1472,57.2244,-14.82,88,4.16,24
Sinnamary,GF,1613200599,5.3833,-52.95,77.9,87,13.18,94
Ostrovnoy,RU,1613200600,68.0531,39.5131,-0.29,91,7.05,100
Merauke,ID,1613200601,-8.4667,140.3333,85.37,71,7.65,100
Saint-Philippe,RE,1613200605,-21.3585,55.7679,88.0,58,32.21,0
Mae Hong Son,TH,1613200606,19.3003,97.9685,87.8,35,2.93,20
Muncar,ID,1613200607,-8.4333,114.3333,82.38,79,7.56,100
Mackay,AU,1613200608,-21.15,149.2,84.2,45,13.8,100
Atar,MR,1613200609,20.5169,-13.0499,59.54,27,10.96,0
Saskatoon,CA,1613200334,52.1168,-106.6345,-22.0,76,1.21,20
Arraial do Cabo,BR,1613200612,-22.9661,-42.0278,77.0,83,12.66,0
Port Keats,AU,1613200613,-14.25,129.55,88.36,66,7.72,89
Adrar,MR,1613200614,20.5022,-10.0711,60.06,25,11.83,0
Kavaratti,IN,1613200615,10.5669,72.642,80.74,65,6.26,11
Wairoa,NZ,1613200616,-39.0333,177.3667,69.01,69,1.99,31
Leningradskiy,RU,1613200617,69.3833,178.4167,-17.48,84,6.93,100
Airai,TL,1613200618,-8.9266,125.4092,69.06,100,2.17,100
Kushmurun,KZ,1613200619,52.4503,64.6311,30.6,97,12.33,100
Roald,NO,1613200621,62.5833,6.1333,26.6,54,12.66,0
Assiniboia,CA,1613200622,49.6334,-105.9845,-27.4,62,3.44,87
Chulumani,BO,1613200624,-16.4096,-67.5263,62.4,79,0.4,100
Tayzhina,RU,1613200625,53.6679,87.4362,2.73,89,1.3,87
Norman Wells,CA,1613200626,65.282,-126.8329,-18.4,76,4.61,1
Greenville,US,1613200357,35.6127,-77.3663,34.0,100,9.22,90
Antibes,FR,1613200629,43.5624,7.1278,46.4,87,3.44,75
Baruun-Urt,MN,1613200630,46.6806,113.2792,1.31,83,3.94,100
Aklavik,CA,1613200631,68.2191,-135.0107,-2.2,78,3.38,100
Kattivākkam,IN,1613200633,13.2167,80.3167,86.0,45,2.3,40
Krasnosel'kup,RU,1613200635,65.7,82.4667,-28.19,83,3.8,65
Ibrā’,OM,1613200636,22.6906,58.5334,80.82,24,5.99,0
Pringsewu,ID,1613200638,-5.3582,104.9744,88.59,60,1.19,89
Dikson,RU,1613200639,73.5069,80.5464,-25.67,87,10.54,100
Rome,US,1613200361,43.2128,-75.4557,5.0,71,3.44,1
Ponta do Sol,PT,1613200641,32.6667,-17.1,55.4,82,3.44,20
Casambalangan,PH,1613200642,18.3765,122.1274,76.59,67,8.46,30
Carballo,ES,1613200643,43.213,-8.691,53.6,82,11.5,40
Koróni,GR,1613200644,36.8,21.95,55.99,81,2.15,75
Thompson,CA,1613200508,55.7435,-97.8558,-40.0,74,3.15,1
Den Helder,NL,1613200648,52.9599,4.7593,21.2,79,10.36,0
Moanda,GA,1613200649,-1.5575,13.2178,73.4,100,4.76,40
Gurupi,BR,1613200650,-11.7292,-49.0686,70.86,97,7.92,100
San Patricio,US,1613200651,28.017,-97.5169,37.4,87,10.36,90
São José da Coroa Grande,BR,1613200652,-8.8978,-35.1478,76.95,86,8.99,7
Koungou,YT,1613200654,-12.7336,45.2042,87.8,70,11.5,75
Mahon,ES,1613200655,39.8885,4.2658,51.8,82,16.11,40
Shchors,UA,1613200656,51.8186,31.945,8.31,94,12.39,100
Novyy Urgal,RU,1613200657,51.0736,132.5642,19.44,91,6.04,100
Tiksi,RU,1613200658,71.6872,128.8694,-12.05,90,5.84,98
Hobbs,US,1613200659,32.7026,-103.136,21.2,93,6.91,90
Celestún,MX,1613200661,20.8667,-90.4,73.6,86,1.95,49
Doha,QA,1613200390,25.2867,51.5333,75.99,56,6.91,0
Ambon City,ID,1613200664,-3.6954,128.1814,89.6,66,11.5,40
Mkushi,ZM,1613200665,-13.6202,29.3939,68.09,91,5.57,93
Ilulissat,GL,1613200666,69.2167,-51.1,6.8,85,2.3,40
Omsukchan,RU,1613200667,62.5333,155.8,-19.91,83,5.46,19
Shirokiy,RU,1613200669,49.758,129.523,19.02,95,9.53,100
Jatiroto,ID,1613200670,-7.8833,111.1167,81.57,76,7.7,100
Nhulunbuy,AU,1613200671,-12.2333,136.7667,84.2,70,8.05,40
‘Ewa Beach,US,1613200672,21.3156,-158.0072,75.2,73,4.25,90
